CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,address_full,Address,cities,lat,long
40364286,PLAZA BAGELS & DELI,STATEN ISLAND,73,NEW DORP PLAZA,10306.0,7183513906,Bagels/Pretzels,6/4/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,6,A,6/4/2019,6/21/2019,Cycle Inspection / Initial Inspection,73 NEW DORP PLAZA 10306.0,73 NEW DORP PLAZA 10306.0,"73 New Dorp Plaza, Staten Island, NY 10306, USA",40.5734796,-74.11792919999999
40364286,PLAZA BAGELS & DELI,STATEN ISLAND,73,NEW DORP PLAZA,10306.0,7183513906,Bagels/Pretzels,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,6/4/2019,6/21/2019,Cycle Inspection / Initial Inspection,73 NEW DORP PLAZA 10306.0,73 NEW DORP PLAZA 10306.0,"73 New Dorp Plaza, Staten Island, NY 10306, USA",40.5734796,-74.11792919999999
40364404,POLISH NATIONAL HOME,BROOKLYN,261,DRIGGS AVENUE,11222.0,7183875252,Polish,6/11/2019,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,261 DRIGGS AVENUE 11222.0,261 DRIGGS AVENUE 11222.0,"261 Driggs Ave, Brooklyn, NY 11222, USA",40.7224876,-73.94839189999999
40364404,POLISH NATIONAL HOME,BROOKLYN,261,DRIGGS AVENUE,11222.0,7183875252,Polish,6/11/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,261 DRIGGS AVENUE 11222.0,261 DRIGGS AVENUE 11222.0,"261 Driggs Ave, Brooklyn, NY 11222, USA",40.7224876,-73.94839189999999
40364404,POLISH NATIONAL HOME,BROOKLYN,261,DRIGGS AVENUE,11222.0,7183875252,Polish,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,261 DRIGGS AVENUE 11222.0,261 DRIGGS AVENUE 11222.0,"261 Driggs Ave, Brooklyn, NY 11222, USA",40.7224876,-73.94839189999999
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,2222,HAVILAND AVENUE,10462.0,7188229004,American,6/11/2019,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,2222 HAVILAND AVENUE 10462.0,2222 HAVILAND AVENUE 10462.0,"2222 Haviland Ave, The Bronx, NY 10462, USA",40.8304811,-73.84971759999999
40365043,SHELL LANES,BROOKLYN,1,BOUCK COURT,11223.0,7183366700,American,6/10/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection,1 BOUCK COURT 11223.0,1 BOUCK COURT 11223.0,"1 Bouck Ct, Brooklyn, NY 11223, USA",40.5890055,-73.9735905
40365043,SHELL LANES,BROOKLYN,1,BOUCK COURT,11223.0,7183366700,American,6/10/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection,1 BOUCK COURT 11223.0,1 BOUCK COURT 11223.0,"1 Bouck Ct, Brooklyn, NY 11223, USA",40.5890055,-73.9735905
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013.0,2123496779,Italian,6/4/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,24,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,93 BAXTER STREET 10013.0,93 BAXTER STREET 10013.0,"93 Baxter St, New York, NY 10013, USA",40.7169517,-73.9995675
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013.0,2123496779,Italian,6/4/2019,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,24,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,93 BAXTER STREET 10013.0,93 BAXTER STREET 10013.0,"93 Baxter St, New York, NY 10013, USA",40.7169517,-73.9995675
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013.0,2123496779,Italian,6/4/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,93 BAXTER STREET 10013.0,93 BAXTER STREET 10013.0,"93 Baxter St, New York, NY 10013, USA",40.7169517,-73.9995675
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013.0,2123496779,Italian,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,93 BAXTER STREET 10013.0,93 BAXTER STREET 10013.0,"93 Baxter St, New York, NY 10013, USA",40.7169517,-73.9995675
40365264,LA GRENOUILLE,MANHATTAN,3,EAST   52 STREET,10022.0,2127521495,French,6/6/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,8,A,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,3 EAST   52 STREET 10022.0,3 EAST   52 STREET 10022.0,"3 E 52nd St, New York, NY 10022, USA",40.75965900000001,-73.975597
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0,113 WEST   13 STREET 10011.0,"113 W 13th St, New York, NY 10011, USA",40.7371344,-73.9979214
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0,113 WEST   13 STREET 10011.0,"113 W 13th St, New York, NY 10011, USA",40.7371344,-73.9979214
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0,113 WEST   13 STREET 10011.0,"113 W 13th St, New York, NY 10011, USA",40.7371344,-73.9979214
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0,113 WEST   13 STREET 10011.0,"113 W 13th St, New York, NY 10011, USA",40.7371344,-73.9979214
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0,113 WEST   13 STREET 10011.0,"113 W 13th St, New York, NY 10011, USA",40.7371344,-73.9979214
40365644,JOE ALLEN RESTAURANT,MANHATTAN,326,WEST   46 STREET,10036.0,2125816464,American,6/11/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,326 WEST   46 STREET 10036.0,326 WEST   46 STREET 10036.0,"326 W 46th St, New York, NY 10036, USA",40.7601463,-73.9890826
40365644,JOE ALLEN RESTAURANT,MANHATTAN,326,WEST   46 STREET,10036.0,2125816464,American,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,326 WEST   46 STREET 10036.0,326 WEST   46 STREET 10036.0,"326 W 46th St, New York, NY 10036, USA",40.7601463,-73.9890826
40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.,nan,2122469171,Italian,6/7/2019,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,13,A,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,319321 323 W. 46TH ST. nan,319321 323 W. 46TH ST. nan,"323 W 46th St, New York, NY 10036, USA",40.760337,-73.988948
40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.,nan,2122469171,Italian,6/7/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,319321 323 W. 46TH ST. nan,319321 323 W. 46TH ST. nan,"323 W 46th St, New York, NY 10036, USA",40.760337,-73.988948
40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.,nan,2122469171,Italian,6/7/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,319321 323 W. 46TH ST. nan,319321 323 W. 46TH ST. nan,"323 W 46th St, New York, NY 10036, USA",40.760337,-73.988948
40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.,nan,2122469171,Italian,6/7/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,319321 323 W. 46TH ST. nan,319321 323 W. 46TH ST. nan,"323 W 46th St, New York, NY 10036, USA",40.760337,-73.988948
40366473,TIO PEPE,MANHATTAN,168,WEST    4 STREET,10014.0,2122429338,Seafood,6/19/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,168 WEST    4 STREET 10014.0,168 WEST    4 STREET 10014.0,"168 West 4th Street, New York, NY 10014, USA",40.7319679,-74.0016583
40366473,TIO PEPE,MANHATTAN,168,WEST    4 STREET,10014.0,2122429338,Seafood,6/19/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,168 WEST    4 STREET 10014.0,168 WEST    4 STREET 10014.0,"168 West 4th Street, New York, NY 10014, USA",40.7319679,-74.0016583
40366812,CARA MIA,QUEENS,22020,HILLSIDE AVENUE,11427.0,7187409118,Italian,6/4/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,22020 HILLSIDE AVENUE 11427.0,22020 HILLSIDE AVENUE 11427.0,"22020 Hillside Avenue, Queens Village, NY 11427, USA",40.730399,-73.7430164
40366812,CARA MIA,QUEENS,22020,HILLSIDE AVENUE,11427.0,7187409118,Italian,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,22020 HILLSIDE AVENUE 11427.0,22020 HILLSIDE AVENUE 11427.0,"22020 Hillside Avenue, Queens Village, NY 11427, USA",40.730399,-73.7430164
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304.0,7183510600,American,6/5/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,6/5/2019,6/21/2019,Cycle Inspection / Initial Inspection,135 FLAGG PLACE 10304.0,135 FLAGG PLACE 10304.0,"135 Flagg Pl, Staten Island, NY 10304, USA",40.5884133,-74.1050011
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304.0,7183510600,American,6/5/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,6/5/2019,6/21/2019,Cycle Inspection / Initial Inspection,135 FLAGG PLACE 10304.0,135 FLAGG PLACE 10304.0,"135 Flagg Pl, Staten Island, NY 10304, USA",40.5884133,-74.1050011
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304.0,7183510600,American,6/5/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,6/5/2019,6/21/2019,Cycle Inspection / Initial Inspection,135 FLAGG PLACE 10304.0,135 FLAGG PLACE 10304.0,"135 Flagg Pl, Staten Island, NY 10304, USA",40.5884133,-74.1050011
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304.0,7183510600,American,6/5/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,13,A,6/5/2019,6/21/2019,Cycle Inspection / Initial Inspection,135 FLAGG PLACE 10304.0,135 FLAGG PLACE 10304.0,"135 Flagg Pl, Staten Island, NY 10304, USA",40.5884133,-74.1050011
40366938,LULU'S COFFEE SHOP,BRONX,1191,CASTLE HILL AVENUE,10462.0,7188223568,CafÃ©/Coffee/Tea,6/6/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,9,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection,1191 CASTLE HILL AVENUE 10462.0,1191 CASTLE HILL AVENUE 10462.0,"1191 Castle Hill Ave, The Bronx, NY 10462, USA",40.8316981,-73.8513114
40366938,LULU'S COFFEE SHOP,BRONX,1191,CASTLE HILL AVENUE,10462.0,7188223568,CafÃ©/Coffee/Tea,6/6/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,9,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection,1191 CASTLE HILL AVENUE 10462.0,1191 CASTLE HILL AVENUE 10462.0,"1191 Castle Hill Ave, The Bronx, NY 10462, USA",40.8316981,-73.8513114
40367481,THE ASSEMBLY BAR,QUEENS,7302,COOPER AVENUE,11385.0,7188219359,American,6/10/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,7302 COOPER AVENUE 11385.0,7302 COOPER AVENUE 11385.0,"73-02 Cooper Ave, Flushing, NY 11385, USA",40.703885,-73.876876
40367481,THE ASSEMBLY BAR,QUEENS,7302,COOPER AVENUE,11385.0,7188219359,American,6/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,7302 COOPER AVENUE 11385.0,7302 COOPER AVENUE 11385.0,"73-02 Cooper Ave, Flushing, NY 11385, USA",40.703885,-73.876876
40367752,GRIFFIS FACULTY CLUB,MANHATTAN,521,EAST   68 STREET,10065.0,6469623939,American,6/17/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection,521 EAST   68 STREET 10065.0,521 EAST   68 STREET 10065.0,"521 E 68th St, New York, NY 10065, USA",40.7641379,-73.9542568
40367752,GRIFFIS FACULTY CLUB,MANHATTAN,521,EAST   68 STREET,10065.0,6469623939,American,6/17/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection,521 EAST   68 STREET 10065.0,521 EAST   68 STREET 10065.0,"521 E 68th St, New York, NY 10065, USA",40.7641379,-73.9542568
40367752,GRIFFIS FACULTY CLUB,MANHATTAN,521,EAST   68 STREET,10065.0,6469623939,American,6/17/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection,521 EAST   68 STREET 10065.0,521 EAST   68 STREET 10065.0,"521 E 68th St, New York, NY 10065, USA",40.7641379,-73.9542568
40367790,MCDONALD'S,BROOKLYN,943,FLATBUSH AVENUE,11226.0,7186935353,Hamburgers,6/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,943 FLATBUSH AVENUE 11226.0,943 FLATBUSH AVENUE 11226.0,"943 Flatbush Ave, Brooklyn, NY 11226, USA",40.64870500000001,-73.958168
40367790,MCDONALD'S,BROOKLYN,943,FLATBUSH AVENUE,11226.0,7186935353,Hamburgers,6/10/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,6,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,943 FLATBUSH AVENUE 11226.0,943 FLATBUSH AVENUE 11226.0,"943 Flatbush Ave, Brooklyn, NY 11226, USA",40.64870500000001,-73.958168
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017.0,2124906650,Seafood,6/19/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,0 GRAND CENTRAL TERMINAL 10017.0,0 GRAND CENTRAL TERMINAL 10017.0,"Grand Central Terminal, 89 E 42nd St, New York, NY 10017, USA",40.7527262,-73.9772294
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017.0,2124906650,Seafood,6/19/2019,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,0 GRAND CENTRAL TERMINAL 10017.0,0 GRAND CENTRAL TERMINAL 10017.0,"Grand Central Terminal, 89 E 42nd St, New York, NY 10017, USA",40.7527262,-73.9772294
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017.0,2124906650,Seafood,6/19/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,0 GRAND CENTRAL TERMINAL 10017.0,0 GRAND CENTRAL TERMINAL 10017.0,"Grand Central Terminal, 89 E 42nd St, New York, NY 10017, USA",40.7527262,-73.9772294
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017.0,2124906650,Seafood,6/19/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,0 GRAND CENTRAL TERMINAL 10017.0,0 GRAND CENTRAL TERMINAL 10017.0,"Grand Central Terminal, 89 E 42nd St, New York, NY 10017, USA",40.7527262,-73.9772294
