CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,address_full
40364286,PLAZA BAGELS & DELI,STATEN ISLAND,73,NEW DORP PLAZA,10306.0,7183513906,Bagels/Pretzels,6/4/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,6,A,6/4/2019,6/21/2019,Cycle Inspection / Initial Inspection,73 NEW DORP PLAZA 10306.0
40364286,PLAZA BAGELS & DELI,STATEN ISLAND,73,NEW DORP PLAZA,10306.0,7183513906,Bagels/Pretzels,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,6/4/2019,6/21/2019,Cycle Inspection / Initial Inspection,73 NEW DORP PLAZA 10306.0
40364404,POLISH NATIONAL HOME,BROOKLYN,261,DRIGGS AVENUE,11222.0,7183875252,Polish,6/11/2019,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,261 DRIGGS AVENUE 11222.0
40364404,POLISH NATIONAL HOME,BROOKLYN,261,DRIGGS AVENUE,11222.0,7183875252,Polish,6/11/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,261 DRIGGS AVENUE 11222.0
40364404,POLISH NATIONAL HOME,BROOKLYN,261,DRIGGS AVENUE,11222.0,7183875252,Polish,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,261 DRIGGS AVENUE 11222.0
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,2222,HAVILAND AVENUE,10462.0,7188229004,American,6/11/2019,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,2222 HAVILAND AVENUE 10462.0
40365043,SHELL LANES,BROOKLYN,1,BOUCK COURT,11223.0,7183366700,American,6/10/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection,1 BOUCK COURT 11223.0
40365043,SHELL LANES,BROOKLYN,1,BOUCK COURT,11223.0,7183366700,American,6/10/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,6/10/2019,6/21/2019,Cycle Inspection / Re-inspection,1 BOUCK COURT 11223.0
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013.0,2123496779,Italian,6/4/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,24,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,93 BAXTER STREET 10013.0
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013.0,2123496779,Italian,6/4/2019,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,24,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,93 BAXTER STREET 10013.0
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013.0,2123496779,Italian,6/4/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,93 BAXTER STREET 10013.0
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013.0,2123496779,Italian,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,93 BAXTER STREET 10013.0
40365264,LA GRENOUILLE,MANHATTAN,3,EAST   52 STREET,10022.0,2127521495,French,6/6/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,8,A,6/6/2019,6/21/2019,Cycle Inspection / Re-inspection,3 EAST   52 STREET 10022.0
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0
40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011.0,2129299580,Spanish,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16,Z,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,113 WEST   13 STREET 10011.0
40365644,JOE ALLEN RESTAURANT,MANHATTAN,326,WEST   46 STREET,10036.0,2125816464,American,6/11/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,326 WEST   46 STREET 10036.0
40365644,JOE ALLEN RESTAURANT,MANHATTAN,326,WEST   46 STREET,10036.0,2125816464,American,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/11/2019,6/21/2019,Cycle Inspection / Initial Inspection,326 WEST   46 STREET 10036.0
40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.,nan,2122469171,Italian,6/7/2019,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,13,A,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,319321 323 W. 46TH ST. nan
40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.,nan,2122469171,Italian,6/7/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,319321 323 W. 46TH ST. nan
40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.,nan,2122469171,Italian,6/7/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,319321 323 W. 46TH ST. nan
40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.,nan,2122469171,Italian,6/7/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,6/7/2019,6/21/2019,Cycle Inspection / Re-inspection,319321 323 W. 46TH ST. nan
40366473,TIO PEPE,MANHATTAN,168,WEST    4 STREET,10014.0,2122429338,Seafood,6/19/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,168 WEST    4 STREET 10014.0
40366473,TIO PEPE,MANHATTAN,168,WEST    4 STREET,10014.0,2122429338,Seafood,6/19/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,168 WEST    4 STREET 10014.0
40366812,CARA MIA,QUEENS,22020,HILLSIDE AVENUE,11427.0,7187409118,Italian,6/4/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,22020 HILLSIDE AVENUE 11427.0
40366812,CARA MIA,QUEENS,22020,HILLSIDE AVENUE,11427.0,7187409118,Italian,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,22020 HILLSIDE AVENUE 11427.0
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304.0,7183510600,American,6/5/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,6/5/2019,6/21/2019,Cycle Inspection / Initial Inspection,135 FLAGG PLACE 10304.0
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304.0,7183510600,American,6/5/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,6/5/2019,6/21/2019,Cycle Inspection / Initial Inspection,135 FLAGG PLACE 10304.0
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304.0,7183510600,American,6/5/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,6/5/2019,6/21/2019,Cycle Inspection / Initial Inspection,135 FLAGG PLACE 10304.0
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304.0,7183510600,American,6/5/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,13,A,6/5/2019,6/21/2019,Cycle Inspection / Initial Inspection,135 FLAGG PLACE 10304.0
40366938,LULU'S COFFEE SHOP,BRONX,1191,CASTLE HILL AVENUE,10462.0,7188223568,CafÃ©/Coffee/Tea,6/6/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,9,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection,1191 CASTLE HILL AVENUE 10462.0
40366938,LULU'S COFFEE SHOP,BRONX,1191,CASTLE HILL AVENUE,10462.0,7188223568,CafÃ©/Coffee/Tea,6/6/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,9,A,6/6/2019,6/21/2019,Cycle Inspection / Initial Inspection,1191 CASTLE HILL AVENUE 10462.0
40367481,THE ASSEMBLY BAR,QUEENS,7302,COOPER AVENUE,11385.0,7188219359,American,6/10/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,7302 COOPER AVENUE 11385.0
40367481,THE ASSEMBLY BAR,QUEENS,7302,COOPER AVENUE,11385.0,7188219359,American,6/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,7302 COOPER AVENUE 11385.0
40367752,GRIFFIS FACULTY CLUB,MANHATTAN,521,EAST   68 STREET,10065.0,6469623939,American,6/17/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection,521 EAST   68 STREET 10065.0
40367752,GRIFFIS FACULTY CLUB,MANHATTAN,521,EAST   68 STREET,10065.0,6469623939,American,6/17/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection,521 EAST   68 STREET 10065.0
40367752,GRIFFIS FACULTY CLUB,MANHATTAN,521,EAST   68 STREET,10065.0,6469623939,American,6/17/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,6/17/2019,6/21/2019,Cycle Inspection / Re-inspection,521 EAST   68 STREET 10065.0
40367790,MCDONALD'S,BROOKLYN,943,FLATBUSH AVENUE,11226.0,7186935353,Hamburgers,6/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,943 FLATBUSH AVENUE 11226.0
40367790,MCDONALD'S,BROOKLYN,943,FLATBUSH AVENUE,11226.0,7186935353,Hamburgers,6/10/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,6,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,943 FLATBUSH AVENUE 11226.0
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017.0,2124906650,Seafood,6/19/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,0 GRAND CENTRAL TERMINAL 10017.0
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017.0,2124906650,Seafood,6/19/2019,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,0 GRAND CENTRAL TERMINAL 10017.0
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017.0,2124906650,Seafood,6/19/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,0 GRAND CENTRAL TERMINAL 10017.0
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017.0,2124906650,Seafood,6/19/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/19/2019,6/21/2019,Cycle Inspection / Initial Inspection,0 GRAND CENTRAL TERMINAL 10017.0
40368291,COLONNADE DINER,STATEN ISLAND,2001,HYLAN BOULEVARD,10306.0,7183512900,American,6/4/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,2001 HYLAN BOULEVARD 10306.0
40368291,COLONNADE DINER,STATEN ISLAND,2001,HYLAN BOULEVARD,10306.0,7183512900,American,6/4/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,2001 HYLAN BOULEVARD 10306.0
40368318,MAGGIES PLACE,MANHATTAN,21,EAST   47 STREET,10017.0,2127535757,American,6/12/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection,21 EAST   47 STREET 10017.0
40368318,MAGGIES PLACE,MANHATTAN,21,EAST   47 STREET,10017.0,2127535757,American,6/12/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection,21 EAST   47 STREET 10017.0
40368318,MAGGIES PLACE,MANHATTAN,21,EAST   47 STREET,10017.0,2127535757,American,6/12/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,6/12/2019,6/21/2019,Cycle Inspection / Initial Inspection,21 EAST   47 STREET 10017.0
40368632,NEW PARKWAY RESTAURANT,BROOKLYN,7504,13 AVENUE,11228.0,7187454371,American,6/5/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,Z,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection,7504 13 AVENUE 11228.0
40368632,NEW PARKWAY RESTAURANT,BROOKLYN,7504,13 AVENUE,11228.0,7187454371,American,6/5/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18,Z,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection,7504 13 AVENUE 11228.0
40368632,NEW PARKWAY RESTAURANT,BROOKLYN,7504,13 AVENUE,11228.0,7187454371,American,6/5/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,Z,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection,7504 13 AVENUE 11228.0
40368632,NEW PARKWAY RESTAURANT,BROOKLYN,7504,13 AVENUE,11228.0,7187454371,American,6/5/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18,Z,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection,7504 13 AVENUE 11228.0
40368632,NEW PARKWAY RESTAURANT,BROOKLYN,7504,13 AVENUE,11228.0,7187454371,American,6/5/2019,Violations were cited in the following area(s).,22G,,Not Applicable,18,Z,6/5/2019,6/21/2019,Cycle Inspection / Re-inspection,7504 13 AVENUE 11228.0
40369482,ARMANDO'S PIZZA,BROOKLYN,1366,PENNSYLVANIA AVENUE,11239.0,7186428253,Pizza,6/11/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,1366 PENNSYLVANIA AVENUE 11239.0
40369482,ARMANDO'S PIZZA,BROOKLYN,1366,PENNSYLVANIA AVENUE,11239.0,7186428253,Pizza,6/11/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/11/2019,6/21/2019,Cycle Inspection / Re-inspection,1366 PENNSYLVANIA AVENUE 11239.0
40369608,THE RIVER CAFE,BROOKLYN,1,WATER STREET,11201.0,7185225200,American,6/10/2019,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,1 WATER STREET 11201.0
40369608,THE RIVER CAFE,BROOKLYN,1,WATER STREET,11201.0,7185225200,American,6/10/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,1 WATER STREET 11201.0
40369608,THE RIVER CAFE,BROOKLYN,1,WATER STREET,11201.0,7185225200,American,6/10/2019,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,11,A,6/10/2019,6/21/2019,Cycle Inspection / Initial Inspection,1 WATER STREET 11201.0
40369724,MCDONALD'S,QUEENS,10615,71 AVENUE,11375.0,7187938181,Hamburgers,6/4/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,6/4/2019,6/21/2019,Cycle Inspection / Re-inspection,10615 71 AVENUE 11375.0
